BARRIO,ÍNDICE SEGURIDAD,PRECIO M² VENTA,PRECIO ARRIENDO
CHAPINERO NORTE,3.3,6142200,1837000
QUINTA CAMACHO (CHAPINERO),3.15,7464600,7166700
CASTILLA (KENNEDY),3.14,3793000,1016200
SUCRE (CHAPINERO),3.12,5751100,1641700
CONCEPCION NORTE (BARRIOS UNIDOS),3.09,4842500,1309450
SAN MARTIN (SANTA FE),3.07,7384150,2500000
RIONEGRO (BARRIOS UNIDOS),3.03,6084300,1150000
VERACRUZ (SANTA FE),3.03,6252184,5261550
MARLY (CHAPINERO),3.03,5563300,1419000
SALITRE SUBA,3.03,3557200,1008000
SAN FERNANDO OCCIDENTAL (BARRIOS UNIDOS),3.02,4138393,1550000
GALERIAS (TEUSAQUILLO),3.01,4918267,2800000
QUESADA (GALERÍAS),3.01,6317779,1350000
GINEBRA,3,6362373,8562500
PUERTA DEL SOL,3,3443381,1150000
CHAPINERO CENTRAL,2.98,5809376,1853928
LA CATEDRAL,2.97,4866444,2000000
VILLAS DE GRANADA I,2.96,2813666,1110000
CHAPINERO OCCIDENTAL,2.96,5445620,1160500
BAVARIA,2.95,4539686,3200000
VILLAS DE GRANADA,2.94,5339504,950000
CATALINA II,2.93,2892170,660000
VILLA ELISA,2.92,3962551,950000
CENTRO FONTIBON,2.9,3211010,2750000
HIPOTECHO OCCIDENTAL,2.88,4939813,1165000
SANTA HELENA,2.85,4357475,2220486
PIO XII,2.85,2841621,1000000
PORCIUNCULA,2.85,5862882,4788750
HORIZONTES NORTE,2.85,3423163,1244000
PASTRANA,2.84,2229806,750000
EL VERGEL ORIENTAL,2.84,4156520,871500
BONANZA,2.83,3551435,4650000
BANCO CENTRAL,2.83,5815407,1733333
LA ASUNCION,2.81,4000000,1090000
SAGRADO CORAZON,2.81,6153846,4500000
ALQUERIA LA FRAGUA NORTE,2.81,2965517,1000000
LISBOA,2.81,5316601,4675294
EL CARMEN FONTIBON,2.79,3314255,1000000
VOTO NACIONAL,2.79,6915821,3561000
HIPOTECHO SUR,2.78,6157822,1375000
SANTA LUCIA,2.78,4582204,750000
COLON,2.78,3478261,800000
LA ESTRADA,2.77,4788011,4450000
SANTA HELENITA,2.75,3584337,1100000
TABORA,2.74,4200000,1200000
SAN FELIPE,2.74,5286364,2695000
VILLA AMALIA,2.74,2397260,700000
TUNAL ORIENTAL,2.74,3046706,765000
PALERMO,2.73,7500000,2350000
OSORIO III,2.73,2593207,693333
ALCAZARES NORTE,2.73,7750000,8000000
GRAN BRITALIA,2.73,2978723,549999
SAN BERNARDINO,2.72,4362290,2050000
BELALCAZAR,2.72,4429732,1472105
LIBERTADOR,2.72,3101669,1300000
PRIMAVERA OCCIDENTAL,2.71,3668264,850000
LAS FERIAS,2.71,5500000,4800000
CEDRITOS,2.69,5065470,2018018
LAS ORQUIDEAS,2.69,3941225,7990000
EL PROGRESO,2.67,5000265,7800000
MADELENA,2.67,5110617,875000
BOSQUE DE PINOS III,2.67,5377429,4466666
VERGEL OCCIDENTAL,2.67,3200639,1300000
ESPARTILLAL,2.67,6926311,4925000
GILMAR,2.67,4532539,1887272
SANTA TERESITA,2.66,4795159,2500000
ALFONSO LOPEZ,2.66,5084915,1752500
SAN CRISTOBAL NORTE,2.66,3887271,1500000
LAS VILLAS,2.66,4604909,2818277
SANTA FE,2.65,4377826,2450000
BARRANCAS NORTE,2.65,4344214,2200000
CIUDAD KENNEDY NORTE,2.65,3188997,2200000
ANDES NORTE,2.65,5162724,2610517
LA CASTELLANA,2.64,5758592,2268500
PROVIVIENDA,2.64,2723868,880000
SAN GABRIEL NORTE,2.64,7641428,9277710
VILLEMAR,2.64,3925887,1117500
EL PINO,2.63,3800577,1192700
NORMANDIA OCCIDENTAL,2.63,4945570,1750000
EL RETIRO,2.63,9390607,6514000
SANTA BARBARA ORIENTAL,2.63,6158297,2479562
SANTA ANA OCCIDENTAL,2.63,6567220,4412500
SAN LUIS,2.62,4708865,2966666
LAS FLORES,2.62,3593861,951666
CIUDAD TECHO II,2.61,3352252,1048333
LA ALAMEDA,2.61,5193962,1680000
LAS NIEVES,2.61,5942817,1707285
PARDO RUBIO,2.6,5873401,2548820
SANTA BARBARA,2.59,5713713,1360000
BOCHICA,2.59,3883414,2400000
PINOS DE LOMBARDIA,2.59,3684164,1172000
SAN PATRICIO,2.59,6195509,3245876
CENTRO ADMINISTRATIVO,2.58,6068262,8875000
VILLAS DE ALCALA,2.58,3580127,900000
SANTA MONICA,2.58,4168889,1175500
RINCON DEL CHICO,2.58,5675585,3422625
LOS CEDROS ORIENTAL,2.57,4656065,1783333
TEUSAQUILLO,2.57,5053164,1643000
CHICO NORTE II SECTOR,2.57,7195971,4926674
ANTIGUO COUNTRY,2.57,8279308,4539780